name,link,image_url,price,rating,location,facilities,description
La Passion Classic Hotel,https://www.booking.com/hotel/vn/mon-regency.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/634661490.webp?k=7e8ebcc6e7c68c82ae8544221dbba20636d5c5855b8ff411387cbbb3c7887592&o=,N/A,"Đạt điểm 9,19,1Tuyệt hảo 690 đánh giá","Quận Hoàn Kiếm, Hà Nội",,690 đánh giá
BIG Apartment Ha Noi,https://www.booking.com/hotel/vn/alaya-6-apartment.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/584200643.webp?k=b588a1a60a8017a24b3f6181146cfeede3d17d4b3bfe221f97d49154a5cc4f28&o=,N/A,"Đạt điểm 8,38,3Rất tốt 124 đánh giá","Cau Giay, Hà Nội",,124 đánh giá thật
Astoria Hotel - St Joseph Cathedral Hanoi,https://www.booking.com/hotel/vn/tamundi-home-the-old-quarter-ngo-huyen.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/630118574.webp?k=61a7bc002396be86b7446ee9a8c620515980a41fbcf6a0293a93f4414d54c4d1&o=,N/A,"Đạt điểm 9,89,8Xuất sắc 98 đánh giá","Quận Hoàn Kiếm, Hà Nội",,98 đánh giá thật
Hotel Du Palace,https://www.booking.com/hotel/vn/king-palace-and-spa.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/637262044.webp?k=9fb07e57b184f95143324f5670dbda17218877b1131791cc054cda42596681d6&o=,N/A,"Đạt điểm 9,49,4Tuyệt hảo 149 đánh giá","Quận Hoàn Kiếm, Hà Nội",,149 đánh giá thật
Sam Sam Studio - 2 Dragons WestLake - Washing machine,https://www.booking.com/hotel/vn/sam-sam-studio-2-dragons-westlake-washing-machine.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/652173876.webp?k=f98192cb3dfbe1f83fd13e9005e14c073a3c3f78f1a321a7c6be7262f4075d4e&o=,N/A,"Đạt điểm 9,69,6Xuất sắc 21 đánh giá","Quận Tây Hồ, Hà Nội",,21 đánh giá thật
Collection O Le Grand Hanoi hotel - The Central Park,https://www.booking.com/hotel/vn/le-grand-hanoi-the-central-park.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/667311422.webp?k=0080094409e4fc29c328f8cab941adbb2d29f0347ceaa3f4687df24863aa9804&o=,N/A,"Đạt điểm 7,57,5Tốt 31 đánh giá","Quận Hai Bà Trưng, Hà Nội",,31 đánh giá
Ben's Premier Hotel & Apartment - Hanoi Center,https://www.booking.com/hotel/vn/bens-premier-amp-apartment-hanoi-center.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/663328500.webp?k=f03fe98e5474f76a54645ee3fdb28e99c8f4c607b3a022fbfc2545edffde1242&o=,N/A,"Đạt điểm 9,79,7Xuất sắc 9 đánh giá","Quận Hai Bà Trưng, Hà Nội",,9 đánh giá thật
Hanoi Ben's Apartment and Hotel,https://www.booking.com/hotel/vn/hanoi-bens-apartment-and.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/547325816.webp?k=ad437e7da3c90533f86db6cf1f1efed1b59a3f26330d356d0b120785c779233a&o=,N/A,"Đạt điểm 8,98,9Tuyệt vời 346 đánh giá","Quận Hai Bà Trưng, Hà Nội",,346 đánh giá thật
La Palm Boutique Hotel,https://www.booking.com/hotel/vn/la-palm-boutique.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/653482096.webp?k=63ae42d51d79446da0984b30241326d2f86efcbe687b953b3b7c03d9f0b1e525&o=,N/A,"Đạt điểm 9,69,6Xuất sắc 64 đánh giá","Quận Hoàn Kiếm, Hà Nội",,64 đánh giá
An Nguyen Lakeside Residence,https://www.booking.com/hotel/vn/an-nguyen-lakeside-residence.vi.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9ow6AgbuG7mWlIKlgEaPQBiAEBmAEquAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKdkZLABsACAdICJDRiNWE4NGY4LWYyNzYtNDkyMC1hYTdhLTExZGJkMGI2N2I0M9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f8b027ce24a602b5&srepoch=1745127582&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square240/646053878.webp?k=483564eff559ad4ea5563bfee668ef496162c94ebfed0ecf0a8723e22710ddbc&o=,N/A,"Đạt điểm 9,99,9Xuất sắc 126 đánh giá","Quận Ba Đình, Hà Nội",,126 đánh giá
